tool,tool_type,catalog_desc,tool_material,diameter,corner_radius,length,flute_length,point_angle,point_length,taper_angle,num_flutes
UGT0201_122,Milling Tool-5 Parameters,Carbide End Mill 5.0,"PVD (TI,AL)N",5.0,,50.0,,,,,4.0
UGT0201_123,Milling Tool-5 Parameters,Carbide End Mill 5.9,"PVD (TI,AL)N",5.9,,50.0,,,,,4.0
UGT0201_124,Milling Tool-5 Parameters,Carbide End Mill 6.0,"PVD (TI,AL)N",6.0,,50.0,,,,,4.0
UGT0201_125,Milling Tool-5 Parameters,Carbide End Mill 7.9,"PVD (TI,AL)N",7.9,,60.0,,,,,4.0
UGT0201_126,Milling Tool-5 Parameters,Carbide End Mill 8.0,"PVD (TI,AL)N",8.0,,60.0,,,,,4.0
UGT0201_127,Milling Tool-5 Parameters,Carbide End Mill 9.9,"PVD (TI,AL)N",9.9,,60.0,,,,,4.0
UGT0201_128,Milling Tool-5 Parameters,Carbide End Mill 10.0,"PVD (TI,AL)N",10.0,,60.0,,,,,4.0
UGT0201_129,Milling Tool-5 Parameters,Carbide End Mill 11.9,"PVD (TI,AL)N",11.9,,80.0,,,,,4.0
UGT0201_130,Milling Tool-5 Parameters,Carbide End Mill 12.0,"PVD (TI,AL)N",12.0,,80.0,,,,,4.0
UGT0201_131,Milling Tool-5 Parameters,Carbide End Mill 13.9,"PVD (TI,AL)N",13.9,,80.0,,,,,4.0
UGT0201_132,Milling Tool-5 Parameters,Carbide End Mill 14.0,"PVD (TI,AL)N",14.0,,80.0,,,,,4.0
UGT0201_133,Milling Tool-5 Parameters,Carbide End Mill 15.0,"PVD (TI,AL)N",15.0,,80.0,,,,,4.0
UGT0201_134,Milling Tool-5 Parameters,Carbide End Mill 15.9,"PVD (TI,AL)N",15.9,,80.0,,,,,4.0
UGT0201_135,Milling Tool-5 Parameters,Carbide End Mill 19.9,"PVD (TI,AL)N",19.9,,80.0,,,,,4.0
UGT0201_136,Milling Tool-5 Parameters,Carbide End Mill 20.0,"PVD (TI,AL)N",20.0,,80.0,,,,,4.0
UGT0205_001,Chamfer Mill,Chamfer Mill 20 x 3 x 45 deg.,,20.0,,75.0,,,,,2.0
UGT0301_001,Drilling Tool,Twist Drill 32.5 mm,"PVD (TI,AL)N",32.5,0.0,218.82,185.0,118.0,9.76398,,2.0
